Ticket_final,Fecha aviso incidencia_final,Categoria de incidencia_final,Tipo Incidencia_final,Tipo de producto_final,Descripcion_final,Operador_final,Distrito_final,Cantidad de clientes afectados_final,Clientes afectados_final,Criticidad Incidencia_final,Tipo de trabajo_final,Reportado Por_final,tipo_cliente_final,Operador_orig_final,Reportado Por_orig_final,outlier_Cantidad de clientes afectados_final,missing_Cantidad de clientes afectados_final,miss_tipo_producto,miss_operador_orig,miss_cantidad_clientes,miss_tipo_cliente
TCK_3C6F915DD7,1/04/25 4:30,Corte de servicio,PEXT,FTTH,CAIDA DE SERVICIO DE LA MUFA A 200 MTS DEL ODF DE STARLINK,<CLIENT_07>,DIST_011,1.0,Sí,Crítico,Emergencia,CLIENT_09,Operador,<CLIENT_07>,<CLIENT_06>,False,0,0,0,0,0
TCK_ED8A9B8ADF,1/10/25 11:45,Potencia alta,PEXT,FTTH,VERTICAL DIST_010 CON POTENCIA ELEVADA EN LA CTO_C0001. EDIFICIO DE JUAN DE <ADDRESS> .,<CLIENT_02>,DIST_010,2.0,Sí,Leve,Emergencia,CLIENT_02,Operador,<CLIENT_02>,<CLIENT_02>,False,0,0,0,0,0
TCK_897FA29021,1/18/2025 2:00 PM,Potencia alta,PEXT,FTTH,"POTENCIA ELEVADA EN CTO_C0022, DIVICAU_D0009 TRONCAL_TCBC0D083CF - DIST_009",<CLIENT_03>,DIST_009,1.0,Sí,Leve,Emergencia,CLIENT_08,Operador,<CLIENT_03>,<CLIENT_03>,False,0,0,0,0,0
TCK_C6C796996C,1/18/2025 1:16 AM,Otros,PINT,FTTH,CAIDA DE GESTION DEL MIKROTIK,<CLIENT_INTERNAL>,DIST_010,0.0,No,Leve,Incidencia,Internal Customer,Interno,<CLIENT_INTERNAL>,<CLIENT_INTERNAL>,False,1,0,0,1,0
TCK_350CDAECAB,1/22/2025 12:30 PM,Otros,PINT,FTTH,CAIDA DE CONECTIVIDAD DEL PANEL DE ALARMAS.,Desconocido,DIST_010,0.0,No,Leve,Incidencia,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,1,0,1,1,0
TCK_9D59D82E0E,1/20/2025 4:34 PM,Otros,PINT,FTTH,"GABINETE DE ALCOM NO FUNCIONA, NO ARMA NI DESARMA. CAMARAS INOPERATIVAS",Desconocido,DIST_010,0.0,No,Leve,Incidencia,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,1,0,1,1,1
TCK_AB91DE8FE9,1/25/2025 7:00 AM,Potencia baja,PINT,FTTH,"CAMBIO DE SFP, NO TENIA POTENCIA PARA VENTA.",<CLIENT_03>,DIST_009,0.0,No,Leve,Incidencia,CLIENT_08,Operador,<CLIENT_03>,<CLIENT_03>,False,1,0,0,1,0
TCK_579D137A7D,1/24/2025 1:00 PM,Corte de fibra,PEXT,FTTH,CORTE DE FIBRA DE 48H DIST_010,<CLIENT_02>,DIST_010,9.0,Sí,Leve,Emergencia,CLIENT_02,Operador,<CLIENT_02>,<CLIENT_02>,True,0,0,0,0,0
TCK_BAAFA045B7,1/28/2025 7:15 AM,Corte de fibra,PEXT,FTTH,"CORTE DE FIBRA, VERTICAR <ADDRESS>. CTO MAL ROTULADA (DIST_010 PERO DEBE DECIR DIST_010)",<CLIENT_02>,DIST_010,1.0,Sí,Leve,Emergencia,CLIENT_02,Operador,<CLIENT_02>,<CLIENT_02>,False,0,0,0,0,0
TCK_DBB149BDAC,1/29/2025 7:30 AM,Otros,PINT,FTTH,PERDIDA DE SENAL <CLIENT_11>.,Desconocido,DIST_009,0.0,No,Leve,Incidencia,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,1,0,1,1,1
TCK_AB31C355FE,1/29/2025 1:00 PM,Corte de fibra,PEXT,FTTH,"ROTURA DE FIBRA POR MORDEDURA DE ROEDOR, VERTICAL DIST_001",<CLIENT_02>,DIST_001,1.0,Sí,Leve,Emergencia,CLIENT_02,Operador,<CLIENT_02>,<CLIENT_02>,False,0,0,0,0,0
TCK_3A70018FF8,1/30/2025 9:00 AM,Corte de fibra,PEXT,FTTH,VERTICAL DIST_001 SIN POTENCIA,<CLIENT_02>,DIST_001,12.0,Sí,Leve,Emergencia,CLIENT_02,Operador,<CLIENT_02>,<CLIENT_02>,True,0,0,0,0,0
TCK_723E837F3C,1/31/2025 1:00 PM,Corte de fibra,PEXT,FTTH,VERTICAL DIST_001 SIN POTENCIA,<CLIENT_02>,DIST_001,1.0,Sí,Leve,Emergencia,CLIENT_02,Operador,<CLIENT_02>,<CLIENT_02>,False,0,0,0,0,0
TCK_16F2BC9E6E,2/03/25 9:30,Corte de fibra,PEXT,FTTH,VERTICAL DIST_001 SIN POTENCIA,<CLIENT_02>,DIST_001,1.0,Sí,Leve,Emergencia,CLIENT_02,Operador,<CLIENT_02>,<CLIENT_02>,False,0,0,0,0,0
TCK_643D3AE945,2/04/25 8:15,Corte de fibra,PEXT,FTTH,VERTICAL DIST_001 SIN POTENCIA,<CLIENT_02>,DIST_001,2.0,Sí,Leve,Emergencia,CLIENT_02,Operador,<CLIENT_02>,<CLIENT_02>,False,0,0,0,0,0
TCK_11737A0FCE,2/11/25 7:00,Sin potencia,PEXT,FTTH,EDIFICIO DIST_006 SIN POTENCIA EN LA CTO.,<CLIENT_02>,DIST_006,0.0,No,Leve,Correctivo,CLIENT_02,Operador,<CLIENT_02>,<CLIENT_02>,False,1,0,0,1,0
TCK_D4F9F7D5CF,2/17/2025 11:00 AM,Otros,PINT,FTTH,CORRECTIVO DE LA BATERIA DE DIST_009,Desconocido,DIST_009,0.0,No,Leve,Correctivo,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,1,0,1,1,0
TCK_1D89744C81,2/27/2025 6:00 AM,Otros,PEXT,DAS - MALL,DESCONEXION DE LA ANTENA RF1.,Desconocido,DIST_004,2.0,Sí,Crítico,Correctivo,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,1,0,1,1,1
TCK_B2DAC7B237,3/07/25 6:00,Otros,PEXT,FTTH,TSS PARA EL DESPLIEGUE A CLIENTE ALDEAS EN PIURA FUTURA,Desconocido,DIST_011,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_8BDAB0D0AB,7/17/2024 8:00 AM,Otros,PEXT,FTTH,INSPECCION EN DIST_009 DIVICAU_D0051,Desconocido,DIST_009,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_26B9F708FE,7/18/2024 8:00 AM,Otros,PEXT,FTTH,LEVANTAMIENTO DE OBSERVACIONES TRONCAL_T99757E2EE1,Desconocido,DIST_009,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_137F4C8F02,7/19/2024 8:00 AM,Otros,PEXT,FTTH,LEVANTAMIENTO DE OBSERVACIONES TRONCAL_TE789AB9840,Desconocido,DIST_009,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_AC559E8A76,7/20/2024 8:00 AM,Otros,PEXT,FTTH,LEVANTAMIENTO DE OBSERVACIONES TRONCAL_TE789AB9840,Desconocido,DIST_009,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_468426C679,7/22/2024 8:00 AM,Otros,PEXT,FTTH,LEVANTAMIENTO DE OBSERVACIONES TRONCAL_TE789AB9840,Desconocido,DIST_009,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_6A2ECEAFAC,7/23/2024 8:00 AM,Otros,PEXT,FTTH,LEVANTAMIENTO DE OBSERVACIONES TRONCAL_TE789AB9840,Desconocido,DIST_009,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_859D8551F3,7/24/2024 8:00 AM,Otros,PEXT,FTTH,ROTULADO DE CTOS ROBADOS.,Desconocido,DIST_009,0.0,No,Leve,Correctivo,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_D013A58FD8,7/26/2024 8:00 AM,Otros,PEXT,FTTH,ROTULADO DE CTOS ROBADOS.,Desconocido,DIST_009,0.0,No,Leve,Correctivo,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_D527BB9083,7/27/2024 8:00 AM,Otros,PEXT,FTTH,AUDITORIA EN DIST_001 DIVICAU_D0001,Desconocido,DIST_001,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_30AEF5A619,7/30/2024 8:00 AM,Otros,PEXT,FTTH,AUDITORIA EN DIST_001 DIVICAU_D0001,Desconocido,DIST_001,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_FDDBC9268D,7/31/2024 8:00 AM,Otros,PEXT,FTTH,NORMALIZACION,Desconocido,DIST_009,0.0,No,Leve,Correctivo,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_056251A1A9,8/01/24 8:00,Otros,PEXT,FTTH,NORMALIZACION,Desconocido,DIST_009,0.0,No,Leve,Correctivo,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_0F95F24D01,8/02/24 8:00,Otros,PEXT,FTTH,AUDITORIA EN DIST_001 DIVICAU_D0001,Desconocido,DIST_001,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_EE3CF79C8D,8/03/24 8:00,Otros,PEXT,FTTH,AUDITORIA EN DIST_001 DIVICAU_D0003,Desconocido,DIST_001,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_33F923A8CE,8/05/24 8:00,Otros,PEXT,FTTH,AUDITORIA EN DIST_001 DIVICAU_D0003,Desconocido,DIST_001,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_76C43648E9,8/07/24 8:00,Otros,PEXT,FTTH,AUDITORIA EN DIST_001 DIVICAU_D0004,Desconocido,DIST_001,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_C7FEECFC5B,8/08/24 8:00,Otros,PEXT,FTTH,AUDITORIA EN DIST_001 DIVICAU_D0004,Desconocido,DIST_001,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_0B3A297BCC,8/09/24 8:00,Otros,PEXT,FTTH,AUDITORIA EN DIST_001 DIVICAU_D0004,Desconocido,DIST_001,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_C23F7E0F66,8/10/24 8:00,Otros,PEXT,FTTH,AUDITORIA EN DIST_001 DIVICAU_D0002,Desconocido,DIST_001,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_69307302C7,8/12/24 8:00,Otros,PEXT,FTTH,AUDITORIA EN DIST_001 DIVICAU_D0002,Desconocido,DIST_001,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_90E4834D70,8/14/2024 8:00 AM,Otros,PEXT,FTTH,AUDITORIA EN DIST_001 DIVICAU_D0003 CONTINUACION,Desconocido,DIST_001,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_321E402633,8/15/2024 8:00 AM,Otros,PEXT,FTTH,AUDITORIA EN DIST_001 DIVICAU_D0003 CONTINUACION,Desconocido,DIST_001,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_6D4B077841,8/16/2024 8:00 AM,Otros,PEXT,FTTH,SUBSANACIONES DE AUDITORIA EN DIST_001,Desconocido,DIST_001,0.0,No,Leve,Correctivo,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_909F15AFFB,8/17/2024 8:00 AM,Otros,PEXT,FTTH,SUBSANACIONES DE AUDITORIA EN DIST_001,Desconocido,DIST_001,0.0,No,Leve,Correctivo,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_4BF5C9A5E3,8/19/2024 8:00 AM,Otros,PEXT,FTTH,NORMALIZACION DE CTO_C0002 DIVICAU_D0021 TRONCAL_TCB988D31D9,Desconocido,DIST_006,0.0,No,Leve,Correctivo,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_230228158A,8/21/2024 8:00 AM,Otros,PEXT,FTTH,NORMALIZACION DE <ADDRESS> TRONCAL_TE789AB9840,Desconocido,DIST_010,0.0,No,Leve,Correctivo,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_B7B786661A,8/22/2024 8:00 AM,Otros,PEXT,FTTH,AUDITORIA DE DIST_013 EN CAMARAS,Desconocido,DIST_013,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_7E72B5DDB9,8/23/2024 8:00 AM,Otros,PEXT,FTTH,ACTIVIDADES DE VERIFICACION DE OLT EN EL NODO DE DIST_010,Desconocido,DIST_013,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_C59206ECB5,8/27/2024 8:00 AM,Otros,PEXT,FTTH,AUDITORIA DE DIST_013 EN CAMARAS,Desconocido,DIST_013,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_4189481E09,8/28/2024 8:00 AM,Otros,PEXT,FTTH,RECOJO DE MATERIALES EN ALMACEN DE <CONTRACTOR_01> (<ADDRESS>),Desconocido,DIST_005,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_A3AF1DBA79,8/29/2024 8:00 AM,Otros,PEXT,FTTH,NORMALIZACION POSTE PASANTE TRONCAL_TE789AB9840,Desconocido,DIST_009,0.0,No,Leve,Correctivo,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_9C5257B210,8/30/2024 8:00 AM,Otros,PEXT,FTTH,VERIFICACION DE HILOS EN NODO DIST_009,Desconocido,DIST_010,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_5C5019979D,9/04/24 8:00,Otros,PEXT,FTTH,RECOJO DE MATERIALES EN ALMACEN DE <CONTRACTOR_01> (<ADDRESS>/96),Desconocido,DIST_005,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_319649A106,9/05/24 8:00,Otros,PEXT,FTTH,NORMALIZACION EN CTO_C0354 TRONCAL_TE534215750,Desconocido,DIST_010,0.0,No,Leve,Correctivo,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_FC26484C6A,9/06/24 8:00,Otros,PEXT,FTTH,TENDER FIBRA DROP PORVICIONAL DE LA CTO_C0066 A MC,Desconocido,DIST_010,0.0,No,Leve,Correctivo,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_D994CE57C6,9/12/24 8:00,Otros,PEXT,FTTH,NORMALIZACION CTO_C0045 DIVICAU_D0004 TRONCAL_TCBC0D083CF,Desconocido,DIST_010,0.0,No,Leve,Correctivo,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_1FD690F640,9/13/2024 8:00 AM,Otros,PEXT,FTTH,NORMALIZACION CTO_C0026 DIVICAU_D0015 TRONCAL_T61ADF48B4C,Desconocido,DIST_010,0.0,No,Leve,Correctivo,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_D337A9F9DE,9/14/2024 8:00 AM,Otros,PEXT,FTTH,AUDITORIA DE DIST_013 EN CAMARAS,Desconocido,DIST_013,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_6A2AF3B000,9/17/2024 8:00 AM,Otros,PEXT,FTTH,AUDITORIA DE DIST_013 EN CAMARAS,Desconocido,DIST_013,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_31D91448A1,9/18/2024 8:00 AM,Otros,PEXT,FTTH,AUDITORIA DE DIST_013 EN CAMARAS,Desconocido,DIST_013,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_FB9260E879,9/19/2024 8:00 AM,Otros,PEXT,FTTH,AUDITORIA EN DIST_010 TRONCAL_TE789AB9840,Desconocido,DIST_010,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_409CAFD894,9/20/2024 8:00 AM,Otros,PEXT,FTTH,AUDITORIA EN DIST_010 TRONCAL_TE789AB9840,Desconocido,DIST_010,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
TCK_EF495F5850,9/21/2024 8:00 AM,Otros,PEXT,FTTH,AUDITORIA EN DIST_010 TRONCAL_TE789AB9840,Desconocido,DIST_010,0.0,No,Leve,Inspección,Internal Customer,Operador,,<CLIENT_INTERNAL>,False,0,0,1,0,0
